date,geounit,ncumul_delivered,ncumul_vacc,ncumul_vacc_per100pop,ncumul_fully_vacc,ncumul_fully_vacc_per100pop
2021-02-24,GR,24950,18659,9.38,5808,2.92
2021-02-24,JU,8875,6899,9.38,2072,2.82
2021-02-24,LU,42925,33792,8.18,13477,3.26
2021-02-24,NE,21000,15955,9.04,2572,1.46
2021-02-24,NW,6015,6108,14.18,3004,6.97
2021-02-24,OW,4135,4046,10.67,1860,4.9
2021-02-24,SG,57000,40214,7.87,6033,1.18
2021-02-24,SH,10425,10175,12.36,3570,4.34
2021-02-24,SO,33100,30631,11.13,12676,4.61
2021-02-24,SZ,16775,13009,8.11,3860,2.41
2021-02-24,TG,30375,23478,8.4,5097,1.82
2021-02-24,TI,46050,35508,10.1,12019,3.42
2021-02-24,UR,4925,4260,11.61,1581,4.31
2021-02-24,VD,82550,75206,9.34,21166,2.63
2021-02-24,VS,40725,32600,9.43,12660,3.66
2021-02-24,ZG,14775,14726,11.54,6644,5.21
2021-02-24,ZH,134150,110739,7.19,26093,1.7
2021-02-28,AG,73675,61653,8.99,17477,2.55
2021-02-28,AI,1875,2243,13.91,1021,6.33
2021-02-28,AR,6095,5944,10.72,2459,4.44
2021-02-28,BE,116575,87852,8.45,24715,2.38
2021-02-28,BL,37950,29417,10.16,9425,3.26
2021-02-28,BS,28750,22946,11.72,9756,4.98
2021-02-28,CH,967300,805202,9.36,258974,3.01
2021-02-28,CHFL,971850,807799,9.34,259793,3.01
2021-02-28,FL,4550,2597,6.7,819,2.11
2021-02-28,FR,39425,31025,9.64,8489,2.64
2021-02-28,GE,60300,50282,9.97,17269,3.43
2021-02-28,GL,5930,4783,11.78,2298,5.66
2021-02-28,GR,24950,19438,9.77,6832,3.43
2021-02-28,JU,8875,7590,10.31,2433,3.31
2021-02-28,LU,42925,36518,8.84,15911,3.85
2021-02-28,NE,21000,17395,9.86,3127,1.77
2021-02-28,NW,6015,6200,14.39,3096,7.19
2021-02-28,OW,4135,4046,10.67,1860,4.9
2021-02-28,SG,57000,43846,8.58,8591,1.68
2021-02-28,SH,12425,10468,12.71,3572,4.34
2021-02-28,SO,33100,30948,11.24,13375,4.86
2021-02-28,SZ,16775,13744,8.56,4200,2.62
2021-02-28,TG,36275,25976,9.29,7305,2.61
2021-02-28,TI,46050,37331,10.62,13892,3.95
